Area,Garage,FirePlace,Baths,White Marble,Black Marble,Indian Marble,Floors,City,Solar,Electric,Fiber,Glass Doors,Swiming Pool,Garden,Prices
113,2,2,1,1,0,0,1,3,1,1,0,0,1,0,50575
55,3,4,2,1,0,0,1,2,0,0,1,1,0,0,64575
19,2,3,4,0,1,0,1,2,1,0,1,1,1,1,55175
206,3,2,2,0,1,0,1,1,0,0,0,0,0,1,38150
158,3,3,5,0,1,0,0,1,1,0,0,1,0,1,31150
30,2,4,1,0,1,0,0,2,0,1,0,0,1,1,22250
176,1,3,4,0,0,1,1,1,0,0,1,0,0,1,44400
171,1,0,2,0,1,0,1,1,1,0,1,1,0,1,49225
9,3,1,5,0,0,1,0,2,0,0,1,1,1,0,35925
136,3,1,4,1,0,0,0,2,1,1,0,1,1,1,41600
209,2,3,3,0,1,0,1,1,1,0,0,1,0,1,43425
43,3,3,1,1,0,0,0,3,1,0,1,1,0,0,51025
134,3,4,3,0,0,1,0,3,1,1,0,1,1,1,32050
188,2,0,5,0,1,0,0,3,1,1,0,1,0,0,36400
242,2,1,4,0,0,1,0,3,0,0,0,1,0,1,30750
17,3,0,1,0,1,0,0,3,1,1,1,1,0,1,40375
184,3,1,1,0,1,0,0,1,0,1,1,1,1,1,38050
52,1,3,4,1,0,0,1,2,0,0,1,0,0,0,58800
12,2,3,3,0,0,1,0,2,1,1,1,1,0,0,35000
107,1,2,3,0,0,1,1,2,1,0,0,0,1,1,32675
78,3,0,1,1,0,0,0,3,0,0,0,1,1,0,37650
65,1,3,5,0,1,0,1,1,0,1,0,1,1,1,41825
193,3,0,4,0,1,0,1,1,1,0,0,0,0,1,39075
81,1,0,3,0,0,1,1,2,0,0,0,0,0,1,30275
229,2,4,2,0,1,0,0,3,0,1,1,1,1,0,48175
63,3,4,5,0,0,1,0,1,0,0,1,1,0,1,36025
41,3,3,2,0,0,1,1,1,1,0,1,1,0,1,46225
68,2,3,5,0,0,1,0,3,0,0,1,1,0,1,40900
236,3,3,5,0,0,1,0,3,0,0,1,0,1,0,42150
193,3,2,5,1,0,0,0,1,1,1,0,1,0,0,41525
67,3,3,2,0,1,0,0,2,0,0,1,1,1,0,40125
139,1,0,5,0,1,0,0,1,1,1,0,1,0,0,26675
47,2,3,4,1,0,0,0,2,0,0,1,1,0,0,49625
93,3,2,5,1,0,0,1,1,0,1,0,1,0,1,53775
206,2,1,5,0,0,1,0,2,0,1,1,1,1,0,40600
163,1,2,3,1,0,0,0,1,0,0,1,1,1,0,45525
76,1,4,5,0,1,0,0,2,1,0,0,0,0,0,25900
51,1,3,4,0,1,0,0,1,0,0,0,0,1,0,19525
196,2,0,3,0,1,0,0,1,0,1,1,1,0,0,38600
77,3,4,2,0,0,1,0,2,0,1,1,1,0,1,37375
248,1,2,3,1,0,0,1,1,1,1,1,1,0,1,64150
168,2,0,1,1,0,0,1,2,1,1,1,0,1,1,58700
167,1,1,4,0,0,1,0,2,0,0,0,1,0,1,23875
53,2,3,1,0,1,0,0,1,0,1,1,0,0,1,30325
191,3,4,5,1,0,0,1,1,0,0,0,1,1,0,56475
132,2,4,3,1,0,0,0,2,1,0,0,1,1,1,39750
45,1,3,3,0,0,1,0,1,0,0,1,1,1,0,29325
89,2,0,4,1,0,0,1,2,1,0,1,0,1,0,59225
101,1,1,5,1,0,0,0,1,0,1,0,1,1,1,35225
219,2,1,4,1,0,0,1,2,0,1,1,0,1,0,64225
27,2,3,1,0,1,0,0,2,0,0,1,0,0,0,31925
220,1,1,5,0,0,1,0,2,0,0,0,1,1,0,26450
5,3,3,2,0,0,1,0,1,0,0,0,0,1,0,13875
218,1,4,1,0,0,1,0,1,0,0,1,1,1,0,31900
158,2,4,1,0,0,1,0,1,0,0,0,1,0,1,20150
156,1,2,3,1,0,0,0,2,1,0,0,0,0,1,32900
69,3,1,2,0,0,1,1,2,1,0,0,1,1,1,37175
208,1,3,1,0,0,1,1,1,0,1,1,1,1,0,47150
116,2,2,3,1,0,0,0,3,0,0,1,0,1,0,48400
14,1,0,3,0,0,1,1,2,0,0,1,0,1,0,40350
208,3,0,2,1,0,0,1,2,0,0,1,0,1,1,60950
174,3,1,2,1,0,0,1,3,1,1,1,0,1,0,65850
121,3,3,2,0,1,0,1,2,0,1,0,1,0,0,45975
49,2,0,2,0,0,1,0,1,0,0,0,0,0,0,11225
234,2,1,3,1,0,0,1,2,0,0,1,1,1,1,66550
62,2,1,2,1,0,0,0,1,0,1,1,1,1,1,43750
228,1,4,4,0,1,0,1,3,1,0,0,0,1,1,46950
240,1,1,2,1,0,0,1,2,0,0,1,0,0,1,59500
5,2,1,4,0,1,0,1,2,0,1,1,1,0,0,54325
42,1,4,5,0,1,0,0,1,0,0,1,0,0,0,33050
99,2,4,3,1,0,0,0,2,1,1,1,1,0,0,51925
32,3,4,1,0,0,1,1,1,0,1,1,0,0,1,42050
90,3,2,4,0,0,1,0,2,1,1,1,0,1,0,34500
85,3,3,3,1,0,0,0,1,0,1,1,1,0,1,48575
190,3,4,4,1,0,0,0,3,1,1,1,0,0,1,56000
93,3,3,4,1,0,0,0,3,1,1,1,0,1,1,52825
157,1,4,4,0,0,1,1,3,1,1,1,0,0,0,53175
136,2,3,1,0,1,0,1,1,1,1,0,1,0,0,40350
118,3,1,3,1,0,0,1,2,0,1,0,0,0,0,50200
38,1,2,5,0,1,0,1,1,0,0,0,1,0,0,39150
178,3,3,5,1,0,0,0,3,1,1,1,1,1,0,60650
16,3,4,5,1,0,0,0,1,0,0,0,0,0,1,32650
80,1,0,5,0,1,0,1,2,1,0,0,0,0,0,38000
35,2,3,3,1,0,0,0,2,1,1,1,0,0,1,45125
71,3,2,2,0,0,1,0,3,1,0,0,1,0,0,26475
217,1,4,4,1,0,0,0,1,0,0,0,1,0,0,37875
6,1,4,4,0,1,0,0,1,0,0,1,0,0,0,30900
54,3,1,5,0,1,0,0,3,0,1,0,0,1,1,30600
241,2,0,1,0,1,0,0,3,1,1,0,1,0,0,32725
40,2,3,5,0,1,0,0,1,1,1,1,1,0,1,39700
198,1,2,5,1,0,0,0,2,1,1,0,0,1,1,37700
240,2,0,2,0,1,0,1,2,0,1,1,1,1,1,56950
129,1,0,2,0,1,0,1,1,0,0,0,1,1,0,36175
163,2,1,1,0,0,1,0,2,1,0,1,1,1,0,33525
82,2,1,4,1,0,0,0,3,1,0,0,0,0,1,36550
205,1,1,5,0,1,0,1,1,1,0,1,0,0,1,50125
106,1,4,3,0,0,1,0,3,0,0,0,1,0,1,26850
107,3,1,2,1,0,0,0,1,0,1,1,0,1,1,41925
91,2,1,4,0,1,0,1,3,1,0,1,1,1,1,58975
191,1,4,4,0,0,1,0,2,1,0,1,0,1,1,34275
209,2,3,2,1,0,0,0,1,1,0,0,0,0,1,31725
63,2,0,1,0,0,1,1,2,0,1,0,0,1,0,30075
78,1,1,4,0,0,1,0,3,1,1,0,0,1,1,22200
50,2,0,4,0,0,1,1,1,1,0,0,1,1,1,33450
191,3,4,5,0,0,1,1,1,0,1,0,0,1,0,39275
52,2,3,1,1,0,0,1,2,1,0,1,0,0,1,56800
64,2,4,1,1,0,0,0,3,0,1,1,0,1,0,47350
242,2,2,3,1,0,0,1,1,0,1,1,1,0,0,65250
33,2,1,5,0,0,1,1,2,0,1,1,1,0,1,51275
132,1,1,5,0,0,1,0,2,0,0,1,0,1,0,31550
137,2,0,4,0,1,0,0,3,0,0,1,1,1,1,44125
96,2,0,1,0,0,1,0,3,0,0,1,0,0,1,29900
218,3,4,1,1,0,0,0,3,1,1,0,0,1,1,41200
236,2,1,3,0,1,0,1,1,1,1,0,0,1,1,39400
70,2,2,5,0,0,1,0,3,1,0,0,1,1,1,28700
166,1,1,5,0,1,0,0,1,1,1,0,0,0,1,23650
118,3,2,4,0,1,0,0,1,0,0,0,0,1,0,23450
229,1,0,2,1,0,0,0,2,0,0,0,1,1,1,36175
169,1,2,1,0,0,1,1,1,0,1,1,1,1,0,45425
110,3,3,2,0,0,1,1,3,0,0,0,0,1,1,38500
144,1,1,3,1,0,0,0,1,1,0,1,0,1,1,40100
222,3,3,2,0,1,0,0,1,1,0,1,1,0,1,40750
180,3,1,1,0,0,1,1,1,0,0,1,1,1,0,46700
222,3,2,4,0,0,1,0,3,1,0,1,0,0,0,40050
124,2,0,4,1,0,0,1,2,1,0,0,1,0,0,52800
186,3,4,5,0,0,1,0,3,0,0,1,1,0,1,46100
182,3,4,3,0,0,1,1,1,0,0,0,0,0,1,35300
108,3,1,3,1,0,0,0,1,0,1,0,1,1,1,35900
188,1,2,3,1,0,0,1,2,1,0,0,0,1,1,48700
148,2,0,3,0,1,0,1,2,0,0,1,0,0,0,50200
156,2,1,1,0,1,0,1,1,1,0,0,0,1,1,33650
19,3,4,3,0,1,0,0,1,1,0,1,0,0,1,33225
183,2,2,4,0,0,1,1,3,0,1,1,0,1,0,53575
118,3,4,1,0,1,0,0,3,1,1,0,0,0,0,29700
208,1,1,2,1,0,0,1,1,0,0,1,0,0,0,55200
133,3,0,4,0,0,1,0,2,1,1,1,0,0,1,34075
153,1,2,3,0,0,1,1,3,0,1,0,0,1,0,38325
167,3,0,4,0,1,0,0,1,1,0,0,0,1,1,23425
30,2,4,1,1,0,0,1,1,0,1,0,1,0,0,47200
70,1,3,4,0,1,0,1,3,0,1,0,0,0,0,43250
157,3,1,1,1,0,0,1,1,1,1,0,1,1,1,49875
59,3,4,5,1,0,0,1,2,1,1,0,1,0,1,58175
39,1,1,2,0,0,1,1,1,0,1,1,0,0,1,38225
167,3,2,2,0,0,1,1,3,0,1,1,1,0,1,56625
228,2,1,1,1,0,0,0,3,1,0,1,1,1,1,52650
160,2,3,5,0,0,1,0,3,0,0,1,0,0,0,38750
39,3,1,4,0,1,0,0,1,0,0,1,1,0,0,36925
26,3,2,4,0,0,1,0,3,0,0,1,0,1,1,34900
175,2,1,3,0,0,1,0,3,1,0,1,1,0,0,39825
145,1,1,2,0,1,0,0,2,1,0,0,1,1,0,26075
32,3,0,4,1,0,0,1,2,0,1,1,0,0,0,60300
145,3,2,5,0,1,0,1,1,1,0,0,0,0,1,40625
218,1,2,4,0,0,1,0,2,0,1,1,0,1,1,34450
116,1,3,1,0,1,0,0,3,0,1,0,0,0,1,25650
187,1,3,1,0,1,0,0,3,0,0,1,0,1,1,37925
211,2,1,2,0,1,0,1,1,0,1,1,1,0,0,53475
195,1,2,3,0,0,1,0,3,0,0,1,1,0,0,39325
162,1,0,5,1,0,0,0,1,1,1,0,0,1,1,31800
231,2,0,1,1,0,0,0,2,1,0,1,0,1,0,44025
102,2,4,4,0,0,1,1,2,1,0,1,0,0,1,48550
199,2,0,1,0,1,0,0,2,1,0,1,0,1,0,34225
133,3,2,2,0,0,1,1,1,1,0,1,0,1,0,43325
145,3,2,5,0,1,0,1,3,1,0,1,0,0,0,59375
190,1,0,4,1,0,0,0,1,1,1,0,0,1,1,31250
